	Treatment
GSM1634925_n_52070900915212051713413815578826.CEL	normal
GSM1634926_n_52070900915212051713413815578810.CEL	normal
GSM1634927_n_52070900915211051713413815578728.CEL	normal
GSM1634928_n_52070900915210051713413815578711.CEL	normal
GSM1634929_n_52070900915210051713413815578703.CEL	normal
GSM1634930_n_52070900915210051713413815578702.CEL	normal
GSM1634931_n_52070900915210051713413815578699.CEL	normal
GSM1634932_n_52070900915210051713413815578696.CEL	normal
GSM1634933_n_52070900915210051713413815578688.CEL	normal
GSM1634934_n_52070900915210051713413815578682.CEL	normal
GSM1634935_n_52070900915210051713413815578681.CEL	normal
GSM1634936_n_52070900915209051713413815578619.CEL	normal
GSM1634937__52070900803708091410408276536276_1_1.CEL	cancer
GSM1634938__52070900796856030510407095397773_1_1.CEL	cancer
GSM1634939__52070900796856030510407095397765_1_1.CEL	cancer
GSM1634940__52070900796855030510407095397738_1_1.CEL	cancer
GSM1634941__52070900784148110309406473181626_1_1.CEL	cancer
GSM1634942__52070900784148110309406473181615_1_1.CEL	cancer
GSM1634943__52070900784148110309406473181612_1_1.CEL	cancer
GSM1634944__52070900784148110309406473181611_1_1.CEL	cancer
GSM1634945__52070900784148110309406473181610_1_1.CEL	cancer
GSM1634946__52070900784148110309406473181609_1_1.CEL	cancer
GSM1634947__52070900784148110309406473181608_1_1.CEL	cancer
GSM1634948__52070900784148110309406473181606_1_1.CEL	cancer
GSM1634949__52070900784148110309406473181599_1_1.CEL	cancer
GSM1634950__52070900784148110309406473181591_1_1.CEL	cancer
GSM1634951__52070900784148110309406473181588_1_1.CEL	cancer
GSM1634952__52070900784147110309406473181577_1_1.CEL	cancer
GSM1634953__52070900784147110309406473181567_1_1.CEL	cancer
GSM1634954__52070900784147110309406473181561_1_1.CEL	cancer
GSM1634955__52070900784147110309406473181550_1_1.CEL	cancer
GSM1634956__52070900784146110309406473181469_1_1.CEL	cancer
GSM1634957__52070900784121110609406472787428_1_1.CEL	cancer
GSM1634958__52070900784118110609406472787262_1_1.CEL	cancer
GSM1634959__52070900784118110609406472787257_1_1.CEL	cancer
GSM1634960__52070900783482072310407830689092_1_1.CEL	cancer
GSM1634961__52070900783477072310407830509962_1_1.CEL	cancer
GSM1634962__52070900782020071910407829605003_1_1.CEL	cancer
GSM1634963__52070900782016071910407829604793_1_1.CEL	cancer
GSM1634964__52070900779810082409406071909240_1_1.CEL	cancer
GSM1634965__52070900779810082409406071909239_1_1.CEL	cancer
GSM1634966__52070900779810082409406071909236_1_1.CEL	cancer
GSM1634967__52070900779810082409406071909230_1_1.CEL	cancer
GSM1634968__52070900779810082409406071909223_1_1.CEL	cancer
GSM1634969__52070900779810082409406071909205_1_1.CEL	cancer
GSM1634970__52070900779810082409406071909204_1_1.CEL	cancer
GSM1634971__52070900779809082409406071909171_1_1.CEL	cancer
GSM1634972__52070900779809082409406071909150_1_1.CEL	cancer
GSM1634973__52070900779808082409406072308804_1_1.CEL	cancer
GSM1634974__52070900779808082409406072308792_1_1.CEL	cancer
GSM1634975__52070900779808082409406072308791_1_1.CEL	cancer
GSM1634976__52070900779808082409406072308788_1_1.CEL	cancer
GSM1634977__52070900779808082409406072308782_1_1.CEL	cancer
GSM1634978__52070900779808082409406072308776_1_1.CEL	cancer
GSM1634979__52070900779808082409406072308774_1_1.CEL	cancer
GSM1634980__52070900779808082409406072308768_1_1.CEL	cancer
GSM1634981__52070900779808082409406072308767_1_1.CEL	cancer
GSM1634982__52070900779808082409406072308765_1_1.CEL	cancer
GSM1634983__52070900779807082409406072308739_1_1.CEL	cancer
GSM1634984__52070900779807082409406072308737_1_1.CEL	cancer
GSM1634985__52070900779807082409406072308736_1_1.CEL	cancer
GSM1634986__52070900779807082409406072308735_1_1.CEL	cancer
GSM1634987__52070900779807082409406072308731_1_1.CEL	cancer
GSM1634988__52070900779807082409406072308730_1_1.CEL	cancer
GSM1634989__52070900779807082409406072308720_1_1.CEL	cancer
GSM1634990__52070900779807082409406072308716_1_1.CEL	cancer
GSM1634991__52070900779807082409406072308714_1_1.CEL	cancer
GSM1634992__52070900779807082409406072308712_1_1.CEL	cancer
GSM1634993__52070900779807082409406072308706_1_1.CEL	cancer
